Rank,Team,Payroll,Year,Pennant,WS
1,Baltimore,71860921,1998,,
2,N.Y. Yankees,65663698,1998,x,x
3,Los Angeles,62806667,1998,,
4,Atlanta,61708000,1998,,
5,Texas,60519595,1998,,
6,Cleveland,59543165,1998,,
7,Boston,59497000,1998,,
8,N.Y. Mets,58660665,1998,,
9,San Diego,53066166,1998,x,
10,Chicago Cubs,49816000,1998,,
11,San Francisco,48514715,1998,,
12,Anaheim,48389000,1998,,
13,Houston,48304000,1998,,
14,Colorado,47714648,1998,,
15,St. Louis,44090854,1998,,
16,Seattle,43698136,1998,,
17,Kansas City,35610000,1998,,
18,Chicago White Sox,35180000,1998,,
19,Toronto,34158500,1998,,
20,Milwaukee,31897903,1998,,
21,Arizona,31614500,1998,,
22,Philadelphia,28622500,1998,,
23,Tampa Bay,27370000,1998,,
24,Minnesota,24527500,1998,,
25,Oakland,22463500,1998,,
26,Cincinnati,20707333,1998,,
27,Detroit,19237500,1998,,
28,Florida,15141000,1998,,
29,Pittsburgh,13695000,1998,,
30,Montreal,8317000,1998,,
1,Yankees,881807120,1999,x,x
2,Texas,81576598,1999,,
3,Atlanta,74890000,1999,x,
4,Cleveland,73278458,1999,,
5,Baltimore,72198363,1999,,
6,Boston,71725000,1999,,
7,Mets,71506427,1999,,
8,Los Angeles,71115786,1999,,
9,Arizona,70496000,1999,,
10,Cubs,55443500,1999,,
11,Colorado,54442505,1999,,
12,Houston,54339000,1999,,
13,Anaheim,49868167,1999,,
14,Toronto,48455333,1999,,
15,St. Louis,46173195,1999,,
16,San Francisco,45959557,1999,,
17,San Diego,45832180,1999,,
18,Seattle,44396336,1999,,
19,Milwaukee,42927395,1999,,
20,Cincinnati,42142761,1999,,
21,Tampa Bay,38027500,1999,,
22,Detroit,34959667,1999,,
23,Philadelphia,30568167,1999,,
24,White Sox,24535000,1999,,
25,Oakland,24175333,1999,,
26,Pittsburgh,24167667,1999,,
27,Kansas City,16557000,1999,,
28,Montreal,16413000,1999,,
29,Minnesota,16345000,1999,,
30,Florida,15150000,1999,,
1,NY Yankees,92538260,2000,x,x
2,Los Angeles,88124286,2000,,
3,Atlanta,84537836,2000,,
4,Baltimore,81447435,2000,,
5,Arizona,81027833,2000,,
6,NY Mets,79509776,2000,x,
7,Boston,77940333,2000,,
8,Cleveland,75880871,2000,,
9,Texas,70795921,2000,,
10,Tampa Bay,62765129,2000,,
11,St. Louis,61453863,2000,,
12,Colorado,61111190,2000,,
13,Chicago Cubs,60539333,2000,,
14,Seattle,58915000,2000,,
15,Detroit,58265167,2000,,
16,San Diego,54821000,2000,,
17,San Francisco,53737826,2000,,
18,Anaheim,51464167,2000,,
19,Houston,51289111,2000,,
20,Philadelphia,47308000,2000,,
21,Cincinnati,46867200,2000,,
22,Toronto,46238333,2000,,
23,Milwaukee,36505333,2000,,
24,Montreal,34807833,2000,,
25,Oakland,31971333,2000,,
26,Chicago White Sox,31133500,2000,,
27,Pittsburgh,28928333,2000,,
28,Kansas City,23433000,2000,,
29,Florida,20072000,2000,,
30,Minnesota,16519500,2000,,
1,NY Yankees,109791893,2001,x,x
2,Boston,109558908,2001,,
3,Los Angeles,108980952,2001,,
4,NY Mets,93174428,2001,,
5,Cleveland,91974979,2001,,
6,Atlanta,91851687,2001,,
7,Texas,88504421,2001,,
8,Arizona,81206513,2001,x,
9,St. Louis,77270855,2001,,
10,Toronto,75798500,2001,,
11,Seattle,75652500,2001,,
12,Baltimore,72426328,2001,,
13,Colorado,71068000,2001,,
14,Chicago Cubs,64015833,2001,,
15,San Francisco,63332667,2001,,
16,Chicago White Sox,62363000,2001,,
17,Houston,60382667,2001,,
18,Tampa Bay,54951602,2001,,
19,Pittsburgh,52698333,2001,,
20,Detroit,49831167,2001,,
21,Anaheim,46568180,2001,,
22,Cincinnati,45227882,2001,,
23,Milwaukee,43089333,2001,,
24,Philadelphia,41664167,2001,,
25,San Diego,38333117,2001,,
26,Kansas City,35643000,2001,,
27,Florida,35504167,2001,,
28,Montreal,34774500,2001,,
29,Oakland, ,2001,,
30,Minnesota,24350000,2001,,
1,NY Yankees,125928583,2002,,
2,Boston Red Sox,108366060,2002,,
3,Texas Rangers,105302124,2002,,
4,Arizona Diamondbacks,102820000,2002,,
5,LA Dodgers,94850952,2002,,
6,NY Mets,94633593,2002,,
7,Atlanta Braves,93470367,2002,,
8,Seattle Mariners,80282668,2002,,
9,Cleveland Indians,78909448,2002,,
